"Date","Price","Open","High","Low","Vol.","Change %"
"09/27/2024","1,777.73","1,777.73","1,777.73","1,777.73","","0.33%"
"09/26/2024","1,771.80","1,771.80","1,771.80","1,771.80","","-0.38%"
"09/25/2024","1,778.48","1,778.48","1,778.48","1,778.48","","0.23%"
"09/24/2024","1,774.33","1,774.33","1,774.33","1,774.33","","-0.06%"
"09/23/2024","1,775.33","1,775.33","1,775.33","1,775.33","","-0.86%"
"09/20/2024","1,790.64","1,790.64","1,790.64","1,790.64","","1.10%"
"09/19/2024","1,771.09","1,771.09","1,771.09","1,771.09","","0.91%"
"09/18/2024","1,755.13","1,755.13","1,755.13","1,755.13","","1.48%"
"09/17/2024","1,729.49","1,729.49","1,729.49","1,729.49","","-0.30%"
"09/16/2024","1,734.65","1,734.65","1,734.65","1,734.65","","1.19%"
"09/13/2024","1,714.31","1,714.31","1,714.31","1,714.31","","-0.02%"
"09/12/2024","1,714.57","1,714.57","1,714.57","1,714.57","","-0.34%"
"09/11/2024","1,720.37","1,720.37","1,720.37","1,720.37","","-0.14%"
"09/10/2024","1,722.83","1,722.83","1,722.83","1,722.83","","0.58%"
"09/09/2024","1,712.96","1,712.96","1,712.96","1,712.96","","0.33%"
"09/06/2024","1,707.37","1,707.37","1,707.37","1,707.37","","0.28%"
"09/05/2024","1,702.68","1,702.68","1,702.68","1,702.68","","-0.34%"
"09/04/2024","1,708.47","1,708.47","1,708.47","1,708.47","","0.18%"
"09/03/2024","1,705.44","1,705.44","1,705.44","1,705.44","","0.86%"
"09/02/2024","1,690.96","1,690.96","1,690.96","1,690.96","","0.76%"
"08/30/2024","1,678.21","1,678.21","1,678.21","1,678.21","","0.00%"
"08/29/2024","1,678.21","1,678.21","1,678.21","1,678.21","","-0.33%"
"08/28/2024","1,683.75","1,683.75","1,683.75","1,683.75","","-0.66%"
"08/27/2024","1,694.90","1,694.90","1,694.90","1,694.90","","0.53%"
"08/26/2024","1,685.91","1,685.91","1,685.91","1,685.91","","-0.79%"
"08/23/2024","1,699.29","1,699.29","1,699.29","1,699.29","","0.43%"
"08/22/2024","1,692.07","1,692.07","1,692.07","1,692.07","","0.56%"
"08/21/2024","1,682.59","1,682.59","1,682.59","1,682.59","","2.66%"
"08/20/2024","1,638.95","1,638.95","1,638.95","1,638.95","","0.13%"
"08/19/2024","1,636.83","1,636.83","1,636.83","1,636.83","","-0.42%"
"08/16/2024","1,643.81","1,643.81","1,643.81","1,643.81","","0.85%"
"08/15/2024","1,630.00","1,630.00","1,630.00","1,630.00","","-0.14%"
"08/14/2024","1,632.33","1,632.33","1,632.33","1,632.33","","0.14%"
"08/13/2024","1,630.00","1,630.00","1,630.00","1,630.00","","-0.02%"
"08/12/2024","1,630.25","1,630.25","1,630.25","1,630.25","","-0.21%"
"08/09/2024","1,633.69","1,633.69","1,633.69","1,633.69","","0.54%"
