"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2025","70.603","76.065","76.275","69.255","148.60K","-9.39%"
"12/29/2025","77.919","71.685","78.065","70.670","168.12K","10.59%"
"12/28/2025","70.460","80.000","82.670","70.215","248.84K","-8.73%"
"12/25/2025","77.196","72.725","79.700","72.720","171.24K","7.69%"
"12/23/2025","71.685","71.680","72.750","70.160","94.82K","0.77%"
"12/22/2025","71.137","69.080","71.795","68.725","128.80K","3.75%"
"12/21/2025","68.565","67.550","69.525","67.470","98.56K","1.59%"
"12/18/2025","67.489","65.415","67.680","64.465","96.49K","3.48%"
"12/17/2025","65.219","66.510","66.825","64.675","111.67K","-2.51%"
"12/16/2025","66.901","63.795","67.180","63.725","147.11K","5.65%"
"12/15/2025","63.323","64.110","64.205","62.115","95.99K","2.12%"
"12/11/2025","62.007","63.985","65.085","61.015","189.23K","-4.00%"
"12/10/2025","64.592","62.235","64.720","61.780","134.40K","5.84%"
"12/09/2025","61.029","61.110","62.390","60.550","119.07K","0.31%"
"12/08/2025","60.840","58.515","61.295","57.990","118.78K","4.17%"
"12/07/2025","58.405","58.765","59.070","57.770","61.21K","-1.10%"
"12/04/2025","59.053","57.560","59.900","57.320","104.52K","2.72%"
"12/03/2025","57.491","58.980","59.235","56.850","99.36K","-1.93%"
"12/02/2025","58.620","59.160","59.655","58.210","103.40K","-0.14%"
"12/01/2025","58.703","58.450","59.320","57.225","108.76K","-0.74%"
"11/30/2025","59.142","57.000","59.435","56.850","141.45K","3.46%"
"11/26/2025","57.163","53.755","57.245","53.220","97.73K","6.63%"
"11/25/2025","53.607","51.750","53.790","51.545","86.09K","5.18%"
"11/24/2025","50.965","51.160","51.510","50.320","49.59K","1.27%"
"11/23/2025","50.326","49.855","51.215","49.370","57.17K","0.83%"
"11/20/2025","49.913","50.395","50.555","48.050","106.79K","-0.77%"
"11/19/2025","50.301","51.060","51.570","49.925","96.74K","-1.09%"
"11/18/2025","50.854","50.550","52.245","50.145","99.44K","0.66%"
"11/17/2025","50.521","50.060","51.035","49.115","76.56K","-0.37%"
"11/16/2025","50.711","50.405","51.110","49.345","73.31K","0.05%"
"11/13/2025","50.686","52.200","53.375","49.860","130.25K","-4.67%"
"11/12/2025","53.170","53.275","54.415","51.985","126.58K","-0.54%"
"11/11/2025","53.457","51.075","53.625","50.760","105.12K","5.35%"
"11/10/2025","50.744","50.445","51.130","50.150","72.74K","0.86%"
"11/09/2025","50.311","48.295","50.480","48.235","81.07K","4.50%"
