"Date","Price","Open","High","Low","Vol.","Change %"
"04/03/2026","73.170","75.150","75.985","69.610","","0.34%"
"04/02/2026","72.924","75.150","75.985","69.610","53.38K","-4.15%"
"04/01/2026","76.078","75.480","76.265","74.000","35.87K","1.55%"
"03/31/2026","74.919","70.245","75.625","69.100","45.39K","6.16%"
"03/30/2026","70.569","69.350","72.025","67.700","31.43K","1.45%"
"03/27/2026","69.561","68.415","71.035","67.340","0.39K","2.75%"
"03/26/2026","67.697","70.570","71.910","66.750","0.48K","-6.49%"
"03/25/2026","72.395","71.470","74.470","71.065","0.89K","4.44%"
"03/24/2026","69.319","69.655","71.200","65.910","0.63K","0.30%"
"03/23/2026","69.109","66.655","70.725","61.200","1.49K","-0.80%"
"03/20/2026","69.664","72.830","74.620","67.740","49.91K","-2.18%"
"03/19/2026","71.215","75.365","76.755","65.550","82.02K","-8.22%"
"03/18/2026","77.592","79.390","80.320","75.015","48.50K","-2.91%"
"03/17/2026","79.921","80.920","82.760","78.375","28.08K","-0.94%"
"03/16/2026","80.682","80.295","81.820","77.125","42.63K","-0.81%"
"03/13/2026","81.343","83.910","85.620","79.520","48.94K","-4.43%"
"03/12/2026","85.112","86.065","87.695","83.120","34.18K","-0.49%"
"03/11/2026","85.535","88.505","89.705","84.555","40.53K","-4.53%"
"03/10/2026","89.592","87.275","90.385","86.805","41.85K","6.00%"
"03/09/2026","84.523","84.620","87.405","79.640","46.18K","0.25%"
"03/06/2026","84.311","82.555","85.335","81.785","41.41K","2.59%"
"03/05/2026","82.181","83.895","85.750","80.565","49.37K","-1.21%"
"03/04/2026","83.184","82.400","87.070","81.740","45.68K","-0.35%"
