Index,Ticker,Name,Sector,Country,Exchange
EuroStoxx50,ADS.DE,Adidas,Consumer Discretionary,,Various EU
EuroStoxx50,ADYEN.AS,Adyen,Financials,,Various EU
EuroStoxx50,AD.AS,Ahold Delhaize,Consumer Staples,,Various EU
EuroStoxx50,AI.PA,Air Liquide,Materials,,Various EU
EuroStoxx50,AIR.PA,Airbus,Industrials,,Various EU
EuroStoxx50,ALV.DE,Allianz,Financials,,Various EU
EuroStoxx50,ABI.BR,Anheuser-Busch InBev,Consumer Staples,,Various EU
EuroStoxx50,ARGX.BR,Argenx,Health Care,,Various EU
EuroStoxx50,ASML.AS,ASML Holding,Information Technology,,Various EU
EuroStoxx50,CS.PA,Axa,Financials,,Various EU
EuroStoxx50,BAS.DE,BASF,Materials,,Various EU
EuroStoxx50,BAYN.DE,Bayer,Health Care,,Various EU
EuroStoxx50,BBVA.MC,BBVA,Financials,,Various EU
EuroStoxx50,SAN.MC,Banco Santander,Financials,,Various EU
EuroStoxx50,BMW.DE,BMW,Consumer Discretionary,,Various EU
EuroStoxx50,BNP.PA,BNP Paribas,Financials,,Various EU
EuroStoxx50,BN.PA,Danone,Consumer Staples,,Various EU
EuroStoxx50,DBK.DE,Deutsche Bank,Financials,,Various EU
EuroStoxx50,DB1.DE,Deutsche Börse,Financials,,Various EU
EuroStoxx50,DHL.DE,Deutsche Post,Industrials,,Various EU
EuroStoxx50,DTE.DE,Deutsche Telekom,Communication,,Various EU
EuroStoxx50,ENEL.MI,Enel,Utilities,,Various EU
EuroStoxx50,ENI.MI,Eni,Energy,,Various EU
EuroStoxx50,EL.PA,EssilorLuxottica,Health Care,,Various EU
EuroStoxx50,RACE.MI,Ferrari,Consumer Discretionary,,Various EU
EuroStoxx50,RMS.PA,Hermès,Consumer Discretionary,,Various EU
EuroStoxx50,IBE.MC,Iberdrola,Utilities,,Various EU
EuroStoxx50,ITX.MC,Inditex,Consumer Discretionary,,Various EU
EuroStoxx50,IFX.DE,Infineon Technologies,Information Technology,,Various EU
EuroStoxx50,INGA.AS,ING Group,Financials,,Various EU
EuroStoxx50,ISP.MI,Intesa Sanpaolo,Financials,,Various EU
EuroStoxx50,OR.PA,L'Oréal,Consumer Staples,,Various EU
EuroStoxx50,MC.PA,LVMH Moët Hennessy Louis Vuitton,Consumer Discretionary,,Various EU
EuroStoxx50,MBG.DE,Mercedes-Benz Group,Consumer Discretionary,,Various EU
EuroStoxx50,MUV2.DE,Munich Re,Financials,,Various EU
EuroStoxx50,NDA-FI.HE,Nordea,Financials,,Various EU
EuroStoxx50,PRX.AS,Prosus,Consumer Discretionary,,Various EU
EuroStoxx50,RHM.DE,Rheinmetall,Industrials,,Various EU
EuroStoxx50,SAF.PA,Safran,Industrials,,Various EU
EuroStoxx50,SGO.PA,Saint-Gobain,Industrials,,Various EU
EuroStoxx50,SAN.PA,Sanofi,Health Care,,Various EU
EuroStoxx50,SAP.DE,SAP,Information Technology,,Various EU
EuroStoxx50,SU.PA,Schneider Electric,Industrials,,Various EU
EuroStoxx50,SIE.DE,Siemens,Industrials,,Various EU
EuroStoxx50,ENR.DE,Siemens Energy,Industrials,,Various EU
EuroStoxx50,TTE.PA,TotalEnergies,Energy,,Various EU
EuroStoxx50,DG.PA,Vinci SA,Industrials,,Various EU
EuroStoxx50,UCG.MI,UniCredit,Financials,,Various EU
EuroStoxx50,VOW.DE,Volkswagen Group,Consumer Discretionary,,Various EU
EuroStoxx50,WKL.AS,Wolters Kluwer,Industrials,,Various EU
