Index,Ticker,Name,Sector,Exchange
FTSE100,III.L,3i,Financial services,LSE
FTSE100,ADM.L,Admiral Group,Insurance,LSE
FTSE100,AAF.L,Airtel Africa,Telecommunications services,LSE
FTSE100,ALW.L,Alliance Witan,Investment Trusts,LSE
FTSE100,AAL.L,Anglo American plc,Mining,LSE
FTSE100,ANTO.L,Antofagasta plc,Mining,LSE
FTSE100,ABF.L,Associated British Foods,Food & tobacco,LSE
FTSE100,AZN.L,AstraZeneca,Pharmaceuticals & biotechnology,LSE
FTSE100,AUTO.L,Autotrader Group,Media,LSE
FTSE100,AV.L,Aviva,Life insurance,LSE
FTSE100,BAB.L,Babcock International,Aerospace & defence,LSE
FTSE100,BA.L,BAE Systems,Aerospace & defence,LSE
FTSE100,BARC.L,Barclays,Banks,LSE
FTSE100,BTRW.L,Barratt Redrow,Household goods & home construction,LSE
FTSE100,BEZ.L,Beazley,Insurance,LSE
FTSE100,BKG.L,Berkeley Group Holdings,Household goods & home construction,LSE
FTSE100,BP.L,BP,Oil & gas producers,LSE
FTSE100,BATS.L,British American Tobacco,Tobacco,LSE
FTSE100,BLND.L,British Land,Real estate,LSE
FTSE100,BT.A.L,BT Group,Telecommunications services,LSE
FTSE100,BNZL.L,Bunzl,Support services,LSE
FTSE100,BRBY.L,Burberry Group,Personal goods,LSE
FTSE100,CNA.L,Centrica,Multiline utilities,LSE
FTSE100,CCEP.L,Coca-Cola Europacific Partners,Beverages,LSE
FTSE100,CCH.L,Coca-Cola HBC,Beverages,LSE
FTSE100,CPG.L,Compass Group,Support services,LSE
FTSE100,CTEC.L,Convatec,Health care equipment & supplies,LSE
FTSE100,CRDA.L,Croda International,Chemicals,LSE
FTSE100,DCC.L,DCC plc,Support services,LSE
FTSE100,DGE.L,Diageo,Beverages,LSE
FTSE100,DPLM.L,Diploma,Industrial Support services,LSE
FTSE100,EDV.L,Endeavour Mining,Mining,LSE
FTSE100,ENT.L,Entain,Travel & leisure,LSE
FTSE100,EXPN.L,Experian,Support services,LSE
FTSE100,FCIT.L,F & C Investment Trust,Collective investments,LSE
FTSE100,FRES.L,Fresnillo plc,Mining,LSE
FTSE100,GAW.L,Games Workshop,Leisure Goods,LSE
FTSE100,GLEN.L,Glencore,Mining,LSE
FTSE100,GSK.L,GSK plc,Pharmaceuticals & biotechnology,LSE
FTSE100,HLN.L,Haleon,Pharmaceuticals & biotechnology,LSE
FTSE100,HLMA.L,Halma plc,Electronic equipment & parts,LSE
FTSE100,HSX.L,Hiscox,Non-life Insurance,LSE
