"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2014","43,969.96","43,949.89","44,081.24","43,921.52","15.55M","0.05%"
"01/02/2015","43,696.74","43,969.96","44,347.97","43,688.87","27.43M","-0.62%"
"01/05/2015","41,990.24","43,696.74","43,882.81","41,990.24","81.67M","-3.91%"
"01/06/2015","42,747.37","41,990.24","42,747.37","41,983.39","78.48M","1.80%"
"01/07/2015","43,086.35","42,747.37","43,159.91","42,376.08","63.80M","0.79%"
"01/08/2015","43,670.79","43,086.35","43,670.79","43,020.22","76.25M","1.36%"
"01/09/2015","42,994.58","43,670.79","43,785.33","42,994.58","100.66M","-1.55%"
"01/12/2015","42,478.59","42,994.58","43,342.06","42,478.59","76.41M","-1.20%"
"01/13/2015","43,428.83","42,478.59","43,530.73","42,478.59","100.35M","2.24%"
"01/14/2015","42,038.08","43,428.83","43,428.83","41,815.67","123.52M","-3.20%"
"01/15/2015","42,533.81","42,038.08","42,899.14","41,938.66","147.95M","1.18%"
"01/16/2015","42,455.42","42,533.81","42,545.79","42,120.58","100.06M","-0.18%"
"01/19/2015","42,989.54","42,455.42","43,032.74","42,455.42","67.74M","1.26%"
"01/20/2015","43,074.85","42,989.54","43,268.79","42,937.84","81.50M","0.20%"
"01/21/2015","43,480.80","43,074.85","43,560.41","43,057.96","197.77M","0.94%"
"01/22/2015","43,725.20","43,480.80","44,246.72","43,477.62","115.36M","0.56%"
"01/23/2015","43,647.44","43,725.20","44,163.92","43,541.75","100.64M","-0.18%"
"01/26/2015","44,197.55","43,647.44","44,237.68","43,455.68","97.72M","1.26%"
"01/27/2015","44,531.76","44,197.55","44,833.24","44,196.70","124.36M","0.76%"
"01/28/2015","45,002.40","44,531.76","45,162.32","44,531.76","95.70M","1.06%"
"01/29/2015","44,768.68","45,002.40","45,102.76","44,687.52","91.17M","-0.52%"
"01/30/2015","45,111.03","44,768.68","45,215.32","44,768.68","118.41M","0.76%"
"02/02/2015","45,188.36","45,111.03","45,327.65","44,889.12","75.56M","0.17%"
"02/03/2015","45,708.71","45,188.36","45,893.79","45,188.36","97.16M","1.15%"
"02/04/2015","45,412.12","45,708.71","45,933.80","45,339.38","125.17M","-0.65%"
"02/05/2015","45,450.89","45,412.12","45,518.17","45,077.72","105.90M","0.09%"
"02/06/2015","45,744.27","45,450.89","45,812.99","45,369.51","90.84M","0.65%"
"02/09/2015","45,875.33","45,744.27","45,875.33","45,466.16","86.31M","0.29%"
"02/10/2015","45,916.40","45,875.33","46,106.53","45,688.75","110.58M","0.09%"
